"","Discrimination (a)","Difficulty (b)"
"Q1",0.18,-0.512
"Q2",0.45,2.485
"Q3",0.244,1.008
"Q4",1.704,0.293
"Q5",0.672,-0.209
"Q6",0.753,1.858
"Q7",1.133,-0.066
"Q8",2.182,-0.163
"Q9",0.417,-0.2
"Q10",0.314,0.301
"Q11",0.864,-0.764
"Q12",0.187,0.082
"Q13",0.266,0.743
"Q14",0.572,-0.084
"Q15",0.083,-0.793
"Q16",3.252,-0.922
"Q17",2.212,0.862
"Q18",4.99,2.003
"Q19",1.068,0.937
"Q20",2.798,-1.616
"Q21",0.513,-0.575
"Q22",0.707,-0.004
"Q23",0.647,-0.676
"Q24",0.143,-1.05
"Q25",0.433,-0.543
"Q26",0.476,0.556
"Q27",0.243,0.253
"Q28",3.112,-0.902
"Q29",1.177,0.824
"Q30",0.62,-1.56
"Q31",0.589,0.538
"Q32",0.4,-1.268
"Q33",0.115,0.641
"Q34",0.657,-0.536
"Q35",3.438,-1.02
"Q36",1.629,-0.808
"Q37",0.461,0.057
"Q38",2.182,0.95
"Q39",0.245,-1.127
"Q40",6.169,-0.201
"Q41",4.943,-0.228
"Q42",1.164,0.559
"Q43",1.204,0.749
"Q44",0.272,1.918
"Q45",2.951,1.007
"Q46",0.663,3.253
"Q47",0.959,-0.162
"Q48",0.19,0.334
"Q49",0.56,-1.179
"Q50",0.44,1.078
"Q51",0.466,-0.996
"Q52",0.686,0.527
"Q53",1.729,-1.491
"Q54",5.198,0.441
"Q55",0.91,1.427
"Q56",1.199,-0.066
"Q57",1.084,1.605
"Q58",1.593,-0.848
"Q59",0.287,1.042
"Q60",0.866,-0.306
"Q61",0.503,-0.792
"Q62",0.583,1.422
"Q63",1.465,-0.154
"Q64",0.696,-0.132
"Q65",0.76,-0.885
"Q66",0.434,1.713
"Q67",2.236,0.159
"Q68",0.628,2.105
"Q69",0.971,-0.294
"Q70",0.53,-0.659
"Q71",0.124,-0.499
"Q72",1.337,-0.202
"Q73",0.33,-0.433
"Q74",1.049,-0.393
"Q75",3.366,0.347
"Q76",1.525,-0.487
"Q77",1.545,-0.823
"Q78",2.728,0.22
"Q79",0.98,2.122
"Q80",1.237,0.899
"Q81",1.656,1.093
"Q82",0.751,0.358
"Q83",0.181,-0.631
"Q84",1.392,0.654
"Q85",2.302,1.678
"Q86",0.897,-1.529
"Q87",0.246,0.592
"Q88",1.968,-1.24
"Q89",0.167,-1.27
"Q90",0.631,-1.22
"Q91",0.729,0.623
"Q92",0.216,-0.011
"Q93",1.24,0.446
"Q94",1.498,-0.206
"Q95",0.663,0.413
"Q96",0.296,-0.069
"Q97",1.031,-0.333
"Q98",1.271,-0.398
"Q99",1.018,-0.501
"Q100",6.249,-0.773
