"","Discrimination (a)","Difficulty (b)"
"Q1",0.39,0.27
"Q2",1.098,-0.63
"Q3",1.068,0.869
"Q4",0.371,1.727
"Q5",0.93,0.024
"Q6",0.8,0.368
"Q7",0.867,-1.309
"Q8",1.708,0.739
"Q9",0.688,0.045
"Q10",0.399,-1.048
"Q11",0.527,1.728
"Q12",0.426,-1.179
"Q13",0.199,0.653
"Q14",3.024,-0.369
"Q15",0.649,-0.6
"Q16",1.828,0.055
"Q17",1.043,1.708
"Q18",1.797,-1.094
"Q19",0.355,-0.289
"Q20",2.289,2.207
"Q21",0.7,0.519
"Q22",1.206,-1.405
"Q23",0.809,2.015
"Q24",0.658,-1.188
"Q25",0.473,0.19
"Q26",0.847,-1.17
"Q27",0.091,-0.038
"Q28",2.419,2.354
"Q29",0.776,1.393
"Q30",0.192,-0.56
"Q31",1.181,-0.671
"Q32",2.52,0.492
"Q33",0.383,-1.179
"Q34",1.616,-1.059
"Q35",3.088,1.138
"Q36",1.951,-0.16
"Q37",3.884,0.63
"Q38",2.781,1.617
"Q39",0.979,-0.193
"Q40",0.225,-1.608
"Q41",0.37,-0.885
"Q42",1.8,-0.432
"Q43",2.201,-0.422
"Q44",3.757,-0.17
"Q45",2.049,0.246
"Q46",0.251,-0.746
"Q47",1.108,-0.274
"Q48",0.165,1.825
"Q49",2.646,0.014
"Q50",1.242,0.188
"Q51",1.691,-0.054
"Q52",0.581,0.462
"Q53",0.18,-0.597
"Q54",2.801,1.263
"Q55",0.318,-1.145
"Q56",0.766,1.085
"Q57",0.311,-1.529
"Q58",0.809,-1.574
"Q59",0.179,-0.114
"Q60",0.237,0.111
"Q61",2.304,0.214
"Q62",1.604,0.554
"Q63",1.539,-1.06
"Q64",1.602,-1.61
"Q65",5.68,-0.338
"Q66",2.472,0.205
"Q67",1.337,-0.224
"Q68",0.417,-0.91
"Q69",0.488,-0.808
"Q70",0.837,0.553
"Q71",2.812,-0.389
"Q72",0.148,-0.447
"Q73",2.22,-0.021
"Q74",0.91,-0.599
"Q75",1.228,-0.311
"Q76",2.42,-0.682
"Q77",0.182,-0.202
"Q78",1.145,1.117
"Q79",3.251,0.826
"Q80",1.469,1.251
"Q81",1.036,2.608
"Q82",2.546,-0.051
"Q83",0.887,2.227
"Q84",0.324,-0.014
"Q85",1.518,-1.547
"Q86",1.053,-1.38
"Q87",0.916,1.48
"Q88",1.11,-0.255
"Q89",0.364,-0.326
"Q90",0.753,-0.727
"Q91",3.096,-1.952
"Q92",0.96,0.423
"Q93",3.807,1.182
"Q94",1.494,0.918
"Q95",0.498,0.095
"Q96",0.104,-1.684
"Q97",2.198,0.99
"Q98",0.637,-0.708
"Q99",0.571,-0.594
"Q100",1.865,-1.066
