"","Discrimination (a)","Difficulty (b)"
"Q1",0.153,0.341
"Q2",2.899,-0.703
"Q3",3.122,-0.38
"Q4",2.181,-0.746
"Q5",0.532,-0.898
"Q6",1.207,-0.335
"Q7",0.403,-0.501
"Q8",0.873,-0.175
"Q9",1.258,1.809
"Q10",0.484,-0.23
"Q11",2.141,-1.13
"Q12",0.924,0.216
"Q13",5.627,1.232
"Q14",1.5,1.609
"Q15",0.246,0.402
"Q16",1.069,-0.273
"Q17",1.357,-0.036
"Q18",2.395,-0.15
"Q19",0.971,3.769
"Q20",1.14,-1.652
"Q21",1.079,-1.135
"Q22",2.195,0.228
"Q23",0.196,-0.183
"Q24",1.081,-0.414
"Q25",0.541,-0.438
"Q26",1.098,-0.026
"Q27",1.179,-0.86
"Q28",0.342,0.167
"Q29",0.687,1.475
"Q30",0.98,0.195
"Q31",1.838,0.159
"Q32",1.607,-0.72
"Q33",0.184,-0.936
"Q34",2.512,0.285
"Q35",1.682,-0.739
"Q36",1.546,0.429
"Q37",0.788,2.734
"Q38",0.338,-1.333
"Q39",2.185,1.86
"Q40",0.48,0.246
"Q41",1.201,-0.746
"Q42",1.525,-1.484
"Q43",0.973,0.222
"Q44",1.577,0.478
"Q45",3.513,0.731
"Q46",0.264,0.172
"Q47",0.412,1.187
"Q48",0.9,-0.35
"Q49",0.913,1.148
"Q50",0.165,1.35
"Q51",2.034,1.116
"Q52",1.041,0.202
"Q53",1.348,0.111
"Q54",3.467,-1.528
"Q55",0.702,0.058
"Q56",0.058,2.187
"Q57",2.408,-0.071
"Q58",0.129,1.293
"Q59",5.179,0.377
"Q60",0.658,-0.817
"Q61",2.5,-0.072
"Q62",1.435,-2.159
"Q63",9.067,2.019
"Q64",2.376,-0.05
"Q65",4.468,-0.28
"Q66",1.957,0.318
"Q67",0.299,-0.969
"Q68",0.583,-0.5
"Q69",0.402,-0.961
"Q70",0.345,-1.59
"Q71",0.316,0.376
"Q72",1.363,1.029
"Q73",1.127,1.226
"Q74",1.852,1.048
"Q75",0.408,0.167
"Q76",0.172,1.138
"Q77",0.523,1.057
"Q78",5.29,-0.68
"Q79",6.259,-1.337
"Q80",0.149,-1.803
"Q81",4.898,0.701
"Q82",0.599,-2.044
"Q83",2.319,-0.988
"Q84",0.132,0.627
"Q85",2.353,-0.384
"Q86",1.705,3.604
"Q87",1.053,0.332
"Q88",0.916,-1.245
"Q89",0.41,0.247
"Q90",0.505,-1.404
"Q91",2.585,0.907
"Q92",0.529,-0.704
"Q93",3.843,-1.57
"Q94",2.041,0.345
"Q95",0.754,0.68
"Q96",0.25,1.143
"Q97",0.217,0.406
"Q98",0.709,-0.919
"Q99",0.272,2.296
"Q100",1.027,-0.69
