"","Discrimination (a)","Difficulty (b)"
"Q1",0.644,-2.13
"Q2",2.437,1.148
"Q3",0.938,-0.49
"Q4",0.605,0.826
"Q5",0.635,-0.41
"Q6",0.554,0.149
"Q7",1.906,0.128
"Q8",0.952,0.915
"Q9",1.926,-0.04
"Q10",1.941,0.42
"Q11",0.404,1.61
"Q12",1.944,-0.02
"Q13",1.102,-0.581
"Q14",5.922,2.383
"Q15",0.767,0.162
"Q16",0.87,1.007
"Q17",0.594,0.027
"Q18",3.006,-1.104
"Q19",1.141,-1.731
"Q20",1.88,0.79
"Q21",3.234,-0.589
"Q22",1.921,0.426
"Q23",0.879,2.569
"Q24",1.405,0.359
"Q25",0.881,0.277
"Q26",0.56,-0.91
"Q27",1.337,-1.37
"Q28",0.389,-1.474
"Q29",2.022,-2.092
"Q30",0.451,0.104
"Q31",0.986,-0.704
"Q32",0.22,1.031
"Q33",1.072,-0.075
"Q34",2.204,-0.927
"Q35",1.227,-1.027
"Q36",4.995,0.947
"Q37",3.069,-0.026
"Q38",0.174,0.12
"Q39",0.685,1.289
"Q40",1.271,1.403
"Q41",0.105,-1.038
"Q42",1.499,-0.084
"Q43",2.208,1.09
"Q44",0.597,1.147
"Q45",0.997,1.649
"Q46",1.129,-0.286
"Q47",0.72,-0.506
"Q48",0.298,-1.929
"Q49",0.414,1.472
"Q50",0.355,-0.133
"Q51",0.495,0.31
"Q52",1.04,-0.102
"Q53",1.532,1.282
"Q54",1.749,-0.686
"Q55",0.381,-1.396
"Q56",0.853,-0.758
"Q57",0.41,-1.204
"Q58",0.496,-1.016
"Q59",1.209,-0.314
"Q60",2.038,0.515
"Q61",1.098,0.41
"Q62",0.699,0.695
"Q63",7.065,-1.021
"Q64",2.061,-0.815
"Q65",0.52,0.55
"Q66",13.156,-0.342
"Q67",1.738,0.68
"Q68",1.033,-0.971
"Q69",0.048,-1.982
"Q70",1.242,0.028
"Q71",1.355,-0.257
"Q72",0.959,2.112
"Q73",2.234,-0.522
"Q74",0.317,-1.665
"Q75",3.74,-0.091
"Q76",0.633,-0.584
"Q77",1.044,0.59
"Q78",1.18,-0.122
"Q79",0.15,0.19
"Q80",2.705,-1.993
"Q81",0.194,0.716
"Q82",2.76,-0.87
"Q83",0.432,0.654
"Q84",1.251,-2.826
"Q85",0.219,-0.648
"Q86",2.622,0.265
"Q87",0.824,0.266
"Q88",5.804,0.594
"Q89",0.574,0.174
"Q90",2.42,1.555
"Q91",0.312,-0.215
"Q92",0.707,-1.622
"Q93",0.821,-0.15
"Q94",1.665,-0.034
"Q95",0.852,-1.068
"Q96",5.413,-0.952
"Q97",0.939,0.266
"Q98",1.492,-1.346
"Q99",0.722,-1.309
"Q100",0.87,2.183
