"","Discrimination (a)","Difficulty (b)"
"Q1",0.444,0.793
"Q2",0.053,0.522
"Q3",0.981,1.746
"Q4",0.701,-1.271
"Q5",1.036,2.197
"Q6",1.639,0.433
"Q7",0.517,-1.57
"Q8",2.721,-0.935
"Q9",2.921,0.063
"Q10",2.129,-0.002
"Q11",0.233,-2.277
"Q12",2.567,0.757
"Q13",0.154,-0.548
"Q14",0.776,0.173
"Q15",0.746,0.563
"Q16",1.245,1.512
"Q17",0.258,0.659
"Q18",0.885,1.122
"Q19",0.636,-0.785
"Q20",1.102,-0.426
"Q21",0.728,0.393
"Q22",0.558,0.037
"Q23",1.07,-1.032
"Q24",1.427,-1.265
"Q25",0.979,-0.227
"Q26",3.486,0.746
"Q27",0.413,0.333
"Q28",0.413,-1.124
"Q29",0.637,-0.706
"Q30",3.638,-0.728
"Q31",1.461,-1.834
"Q32",4.485,-0.408
"Q33",0.764,0.027
"Q34",3.579,0.912
"Q35",1.379,1.634
"Q36",5.233,0.061
"Q37",0.304,1.848
"Q38",0.954,0.08
"Q39",0.202,1.419
"Q40",0.328,1.459
"Q41",2.447,0.056
"Q42",0.494,-1.517
"Q43",0.385,-0.049
"Q44",2.709,-0.214
"Q45",0.514,2.096
"Q46",0.196,0.202
"Q47",2.109,0.518
"Q48",0.38,1.678
"Q49",0.738,0.385
"Q50",1.944,-1.282
"Q51",1.735,-0.582
"Q52",0.501,1.774
"Q53",0.268,-0.211
"Q54",1.076,-0.352
"Q55",1.856,0.585
"Q56",1.797,1.014
"Q57",2.61,-0.023
"Q58",0.44,-0.903
"Q59",1.558,0.908
"Q60",0.311,1.162
"Q61",1.25,-0.458
"Q62",1.012,0.928
"Q63",0.848,-2.103
"Q64",0.229,-1.677
"Q65",0.65,1.766
"Q66",1.904,0.794
"Q67",6.352,-0.484
"Q68",2.303,1.928
"Q69",0.162,-0.384
"Q70",0.725,-1.587
"Q71",3.375,0.214
"Q72",0.227,-1.138
"Q73",0.622,0.489
"Q74",0.12,-1.753
"Q75",0.514,0.501
"Q76",0.659,0.087
"Q77",0.799,0.191
"Q78",1.467,0.832
"Q79",1.582,-0.679
"Q80",0.19,0.296
"Q81",1.055,1.112
"Q82",0.591,0.363
"Q83",0.929,-0.271
"Q84",0.671,-0.197
"Q85",0.575,0.067
"Q86",1.073,-0.868
"Q87",1.157,-0.362
"Q88",1.208,-1.14
"Q89",1.046,-0.815
"Q90",1.789,1.31
"Q91",1.82,-0.258
"Q92",2.021,0.606
"Q93",0.309,0.313
"Q94",0.743,0.054
"Q95",1.008,1.128
"Q96",3.601,-0.558
"Q97",0.641,1.536
"Q98",3.302,-0.062
"Q99",1.449,0.022
"Q100",5.144,-2.09
