"","Discrimination (a)","Difficulty (b)"
"Q1",1.346,-0.085
"Q2",0.149,0.84
"Q3",0.193,-0.463
"Q4",0.169,-0.551
"Q5",1.036,0.736
"Q6",0.61,-0.108
"Q7",1.836,-0.17
"Q8",0.695,-1.088
"Q9",1.183,-3.011
"Q10",1.762,-0.593
"Q11",0.856,-0.76
"Q12",0.433,0.292
"Q13",1.728,0.421
"Q14",0.337,-1.294
"Q15",4.271,0.069
"Q16",4.003,-0.813
"Q17",1.297,1.511
"Q18",4.236,-0.272
"Q19",0.304,1.558
"Q20",0.742,-0.237
"Q21",0.318,1.283
"Q22",0.179,-0.009
"Q23",0.691,-0.4
"Q24",6.185,0.022
"Q25",1.612,1.743
"Q26",1.151,-1.107
"Q27",0.178,-1.06
"Q28",1.319,1.951
"Q29",0.256,0.603
"Q30",2.306,-2.021
"Q31",9.259,1.507
"Q32",1.188,0.964
"Q33",0.223,-1.554
"Q34",0.26,-0.774
"Q35",0.091,1.261
"Q36",2.211,0.428
"Q37",1.559,0.845
"Q38",1.655,-0.699
"Q39",4.171,-0.065
"Q40",0.16,0.471
"Q41",3.83,0.364
"Q42",11.461,-0.615
"Q43",1.968,0.229
"Q44",0.14,-0.262
"Q45",1.084,0.613
"Q46",0.494,-1.958
"Q47",1.817,-0.664
"Q48",2.216,0.284
"Q49",0.357,0.269
"Q50",0.657,-0.64
"Q51",1.174,1.08
"Q52",0.569,-0.365
"Q53",1.255,0.589
"Q54",1.293,-0.096
"Q55",0.713,0.972
"Q56",1.356,0.578
"Q57",2.064,-0.777
"Q58",0.504,-0.601
"Q59",1.938,-1.499
"Q60",5.615,0.754
"Q61",1.379,0.557
"Q62",1.779,0.095
"Q63",0.244,-1.781
"Q64",0.37,-1.109
"Q65",4.76,-0.267
"Q66",1.226,-1.077
"Q67",0.679,-0.491
"Q68",2.508,1.639
"Q69",0.684,0.397
"Q70",2.105,-1.598
"Q71",0.306,-1.468
"Q72",1.318,1.04
"Q73",0.7,0.783
"Q74",2.685,-0.477
"Q75",0.765,0.094
"Q76",1.616,0.599
"Q77",2.154,-2.897
"Q78",2.559,0.584
"Q79",0.349,2.376
"Q80",2.756,-0.646
"Q81",0.285,0.243
"Q82",0.683,-0.789
"Q83",1.233,-1.094
"Q84",0.883,2.045
"Q85",8.903,-1.681
"Q86",1.085,1.215
"Q87",8.266,-0.096
"Q88",2.813,-0.951
"Q89",0.82,0.601
"Q90",0.354,-3.015
"Q91",0.875,0.769
"Q92",0.559,1.569
"Q93",0.405,-0.503
"Q94",0.449,-0.618
"Q95",3.746,-1.351
"Q96",2.827,0.769
"Q97",1.747,0.329
"Q98",0.265,-0.044
"Q99",0.146,-0.637
"Q100",1.023,-0.069
