"","Discrimination (a)","Difficulty (b)"
"Q1",2.206,-1.189
"Q2",11.677,0.389
"Q3",3.443,-0.344
"Q4",1.151,-0.548
"Q5",1.606,0.981
"Q6",2.494,-0.237
"Q7",2.97,0.81
"Q8",0.781,-0.745
"Q9",0.897,-0.26
"Q10",2.081,-0.183
"Q11",0.298,0.519
"Q12",0.756,0.883
"Q13",1.4,0.59
"Q14",0.153,-0.197
"Q15",0.692,0.66
"Q16",3.048,-0.261
"Q17",3.344,-0.573
"Q18",4.029,1.407
"Q19",0.778,0.504
"Q20",0.526,-0.7
"Q21",1.561,1.423
"Q22",1.092,-1.043
"Q23",14.92,0.001
"Q24",0.646,1.09
"Q25",5.455,-0.999
"Q26",1.252,0.535
"Q27",3.467,-0.124
"Q28",3.306,2.119
"Q29",0.172,-1.513
"Q30",1.339,0.255
"Q31",5.626,1.505
"Q32",1.019,-0.39
"Q33",0.584,0.579
"Q34",0.444,0.21
"Q35",2.943,0.944
"Q36",2.047,-1.827
"Q37",1.406,2.87
"Q38",1.309,-2.369
"Q39",2.541,-0.59
"Q40",3.564,-0.969
"Q41",5.614,0.187
"Q42",2.2,1.914
"Q43",1.169,-0.623
"Q44",1.803,-1.064
"Q45",2.026,-0.342
"Q46",0.423,-0.101
"Q47",0.499,0.578
"Q48",0.916,0.828
"Q49",0.277,1.311
"Q50",0.751,0.178
"Q51",1.81,1.704
"Q52",0.814,-0.576
"Q53",0.342,-0.703
"Q54",0.373,-0.259
"Q55",2.777,1.924
"Q56",0.324,-0.216
"Q57",0.324,-1.142
"Q58",3.119,0.785
"Q59",0.261,-1.151
"Q60",1.03,0.238
"Q61",4.797,0.799
"Q62",0.959,0.191
"Q63",2.817,-0.329
"Q64",1.436,0.772
"Q65",1.352,-1.452
"Q66",0.216,0.956
"Q67",3.105,0.467
"Q68",0.1,-0.466
"Q69",1.357,-1.485
"Q70",2.032,-1.006
"Q71",0.157,-0.451
"Q72",0.983,0.333
"Q73",0.16,0.503
"Q74",0.874,0.76
"Q75",2.415,-1.829
"Q76",0.415,0.52
"Q77",2.523,-0.841
"Q78",2.403,0.823
"Q79",0.33,-1.999
"Q80",0.857,0.071
"Q81",1.802,-0.255
"Q82",0.849,-0.982
"Q83",0.57,0.225
"Q84",0.918,-1.803
"Q85",0.82,1.05
"Q86",3.679,-0.143
"Q87",1.039,1.919
"Q88",0.381,0.46
"Q89",6.613,0.614
"Q90",0.516,0.146
"Q91",1.69,-0.644
"Q92",1.592,0.863
"Q93",0.583,-0.76
"Q94",0.744,-1.915
"Q95",1.151,-2.004
"Q96",0.794,0.781
"Q97",1.722,-0.886
"Q98",10.475,1.669
"Q99",0.076,-0.12
"Q100",0.781,0.022
