"","Discrimination (a)","Difficulty (b)"
"Q1",4.749,0.125
"Q2",4.951,0.382
"Q3",0.756,0.579
"Q4",3.479,-0.294
"Q5",15.62,-0.828
"Q6",0.551,-0.333
"Q7",2.224,-0.192
"Q8",3.326,1.363
"Q9",0.827,0.856
"Q10",5.949,0.216
"Q11",0.835,-0.378
"Q12",2.21,0.039
"Q13",0.762,1.425
"Q14",1.206,0.982
"Q15",1.279,0.31
"Q16",0.449,-1.668
"Q17",3.202,-2.705
"Q18",0.205,-1.737
"Q19",1.034,0.403
"Q20",0.507,-0.732
"Q21",2.076,-0.278
"Q22",1.401,1.284
"Q23",0.584,0.824
"Q24",3.056,-2.384
"Q25",1.142,0.739
"Q26",2.488,-0.459
"Q27",6.793,0.083
"Q28",1.98,0.024
"Q29",0.992,-2.104
"Q30",0.662,0.463
"Q31",0.894,0.357
"Q32",0.781,-0.521
"Q33",5.663,0.655
"Q34",0.87,-0.221
"Q35",0.974,0.31
"Q36",1.186,0.13
"Q37",0.449,-0.464
"Q38",0.293,0.05
"Q39",0.184,-0.215
"Q40",3.025,0.899
"Q41",1.541,0.293
"Q42",0.39,-0.956
"Q43",1.044,-1.213
"Q44",0.555,1.631
"Q45",2.162,-1.951
"Q46",3.832,0.437
"Q47",0.122,-0.192
"Q48",0.94,1.097
"Q49",1.476,-0.979
"Q50",1.429,-0.82
"Q51",0.197,0.606
"Q52",3.589,0.194
"Q53",0.819,1.348
"Q54",1.813,1.477
"Q55",6.784,0.13
"Q56",7.56,1.156
"Q57",0.818,-1.665
"Q58",1.489,-0.996
"Q59",0.692,1.524
"Q60",1.962,-0.641
"Q61",0.479,0.175
"Q62",0.157,-0.356
"Q63",1.993,-1.687
"Q64",5.367,1.879
"Q65",0.499,-1.444
"Q66",0.417,1.121
"Q67",1.601,-0.052
"Q68",0.464,1.028
"Q69",0.282,0.396
"Q70",0.25,-0.574
"Q71",8.965,-0.911
"Q72",0.291,-1.077
"Q73",1.405,1.133
"Q74",3.402,-2.021
"Q75",2.074,-0.12
"Q76",0.363,0.787
"Q77",0.339,0.16
"Q78",0.233,-0.713
"Q79",0.311,1.081
"Q80",0.15,1.685
"Q81",1.933,-0.918
"Q82",1.693,-0.061
"Q83",1.406,-1.078
"Q84",0.792,-1.608
"Q85",0.957,0.788
"Q86",1.371,-1.177
"Q87",1.464,-0.657
"Q88",0.581,0.358
"Q89",1.267,-0.081
"Q90",1.12,-2.006
"Q91",0.978,-1.541
"Q92",0.296,-0.406
"Q93",4.163,-1.528
"Q94",0.487,0.914
"Q95",0.746,0.078
"Q96",2.484,0.21
"Q97",0.98,-0.411
"Q98",0.787,0.072
"Q99",1.529,-0.478
"Q100",0.805,2.4
