"","Discrimination (a)","Difficulty (b)"
"Q1",1.076,-0.794
"Q2",3.306,0.197
"Q3",0.121,1.002
"Q4",1.957,1.289
"Q5",0.83,0.906
"Q6",0.826,0.494
"Q7",2.196,0.599
"Q8",1.755,-1.58
"Q9",0.981,1.001
"Q10",0.771,2.188
"Q11",0.85,-1.209
"Q12",0.124,-0.587
"Q13",1.567,1.056
"Q14",0.498,-0.317
"Q15",2.185,-0.055
"Q16",0.767,0.33
"Q17",1.021,0.663
"Q18",1.494,0.878
"Q19",7.149,0.203
"Q20",2.596,2.274
"Q21",1.11,-0.899
"Q22",0.35,2.139
"Q23",2.433,-1.166
"Q24",0.574,-0.047
"Q25",1.412,0.416
"Q26",1.746,1.72
"Q27",1.149,-0.784
"Q28",0.907,-1.304
"Q29",1.764,-0.452
"Q30",1.053,-1.774
"Q31",0.233,-0.05
"Q32",2.394,-1.037
"Q33",0.837,0.622
"Q34",0.708,0.127
"Q35",1.466,-1.741
"Q36",0.202,-0.573
"Q37",3.368,0.912
"Q38",1.8,1.234
"Q39",0.552,0.661
"Q40",0.39,-0.861
"Q41",3.532,-0.533
"Q42",1.306,0.321
"Q43",3.707,-0.004
"Q44",0.422,1.598
"Q45",2.042,1.327
"Q46",1.097,-0.119
"Q47",0.436,0.082
"Q48",2.183,-0.02
"Q49",0.982,-0.825
"Q50",0.688,0.702
"Q51",2.003,-0.196
"Q52",0.283,-0.158
"Q53",1.46,0.224
"Q54",0.586,0.305
"Q55",0.444,1.369
"Q56",0.228,-1.389
"Q57",0.778,-1.644
"Q58",1.225,1.426
"Q59",0.839,0.097
"Q60",0.444,0.312
"Q61",0.889,0.882
"Q62",3.576,0.899
"Q63",0.302,1.503
"Q64",0.419,0.505
"Q65",1.544,-0.341
"Q66",0.653,1.373
"Q67",1.38,0.819
"Q68",1.254,1.426
"Q69",0.315,2.196
"Q70",0.726,-0.896
"Q71",0.342,-1.69
"Q72",0.369,-0.467
"Q73",2.372,-0.36
"Q74",1.273,0.746
"Q75",0.554,0.169
"Q76",0.161,1.65
"Q77",0.712,0.033
"Q78",5.006,-1.032
"Q79",0.515,-0.632
"Q80",0.568,0.578
"Q81",0.744,1.842
"Q82",1.079,-0.058
"Q83",0.843,-0.257
"Q84",2.159,-2.167
"Q85",4.256,0.11
"Q86",0.157,1.315
"Q87",2.156,-0.893
"Q88",4.013,-1.044
"Q89",0.207,-0.542
"Q90",1.043,-0.331
"Q91",27.819,1.672
"Q92",0.593,-1.053
"Q93",1.959,0.081
"Q94",0.464,0.703
"Q95",1.087,1.511
"Q96",4.631,0.001
"Q97",0.814,1.431
"Q98",2.51,-1.112
"Q99",0.449,0.568
"Q100",1.562,1.338
