"","Discrimination (a)","Difficulty (b)"
"Q1",5.426,-0.662
"Q2",1.932,1.719
"Q3",0.946,2.122
"Q4",0.098,1.497
"Q5",1.141,-0.036
"Q6",0.753,1.232
"Q7",11.101,-0.065
"Q8",0.606,1.069
"Q9",1.603,-0.377
"Q10",0.443,1.043
"Q11",4.032,-0.383
"Q12",0.124,0.299
"Q13",3.367,0.674
"Q14",0.997,-0.293
"Q15",3.589,0.488
"Q16",6.723,0.883
"Q17",0.368,1.863
"Q18",1.17,1.612
"Q19",0.415,0.135
"Q20",1.017,1.088
"Q21",0.58,-1.267
"Q22",0.609,-0.199
"Q23",0.198,0.139
"Q24",0.939,-0.279
"Q25",5.329,0.709
"Q26",0.382,-0.767
"Q27",0.654,1.443
"Q28",1.963,0.845
"Q29",0.683,-0.399
"Q30",2.478,-1.428
"Q31",1.437,-1.422
"Q32",0.137,-0.328
"Q33",0.351,0.285
"Q34",0.854,0.719
"Q35",2.051,0.432
"Q36",2.232,-0.352
"Q37",0.443,0.298
"Q38",0.293,-0.261
"Q39",1.171,1.309
"Q40",0.238,0.016
"Q41",0.727,-0.431
"Q42",3.436,0.382
"Q43",0.468,0.041
"Q44",3.799,-0.059
"Q45",2.451,-1.296
"Q46",1.375,-2.137
"Q47",0.512,-0.894
"Q48",0.602,0.613
"Q49",4.124,0.583
"Q50",0.43,-0.006
"Q51",3.123,-1.865
"Q52",1.218,1.83
"Q53",1.42,-0.991
"Q54",0.665,-1.45
"Q55",0.495,-0.015
"Q56",0.262,0.537
"Q57",0.957,-0.811
"Q58",0.19,-0.318
"Q59",0.363,1.111
"Q60",0.204,-0.142
"Q61",0.231,-0.205
"Q62",0.774,-0.681
"Q63",1.821,-0.043
"Q64",1.838,-1.162
"Q65",3.62,-0.773
"Q66",1.603,-0.919
"Q67",2.937,0.089
"Q68",0.977,-0.758
"Q69",0.655,1.748
"Q70",0.932,0.17
"Q71",0.589,0.826
"Q72",1.445,-0.017
"Q73",1.154,0.492
"Q74",2.921,0.355
"Q75",1.33,0.113
"Q76",0.794,1.137
"Q77",0.429,-0.567
"Q78",1.452,0.553
"Q79",0.947,-0.013
"Q80",0.81,-0.571
"Q81",2.344,-0.684
"Q82",0.057,1.169
"Q83",0.302,0.369
"Q84",1.101,-0.511
"Q85",1.588,-0.632
"Q86",0.856,1.713
"Q87",2.399,-0.223
"Q88",1.02,-0.959
"Q89",4.615,0.038
"Q90",1.537,-1.642
"Q91",1.473,0.79
"Q92",1.475,-1.057
"Q93",1.164,-1.029
"Q94",3.533,1.101
"Q95",2.928,-0.614
"Q96",0.241,-0.346
"Q97",1.073,0.086
"Q98",5.198,-0.649
"Q99",0.239,0.306
"Q100",2.396,-0.771
