"","Discrimination (a)","Difficulty (b)"
"Q1",2.693,-0.254
"Q2",0.697,-1.056
"Q3",2.223,0.686
"Q4",0.327,0.025
"Q5",0.273,-1.672
"Q6",0.398,-1.484
"Q7",1.677,0.43
"Q8",1.958,0.008
"Q9",0.615,0.886
"Q10",0.896,-0.41
"Q11",0.922,0.061
"Q12",0.868,-1.166
"Q13",2.06,-0.013
"Q14",0.392,1.196
"Q15",0.813,-0.021
"Q16",3.059,0.042
"Q17",3.975,0.699
"Q18",3.015,-0.071
"Q19",2.143,0.98
"Q20",1.105,0.479
"Q21",4.69,-0.071
"Q22",0.207,-1.29
"Q23",0.694,-0.009
"Q24",1.128,-1.202
"Q25",2.583,0.895
"Q26",0.699,-0.286
"Q27",8.834,-0.014
"Q28",0.839,-0.692
"Q29",0.276,1.128
"Q30",1.248,0.217
"Q31",0.775,0.876
"Q32",0.079,0.639
"Q33",0.458,-0.138
"Q34",1.035,-0.501
"Q35",0.39,0.067
"Q36",0.483,2.346
"Q37",0.965,-2.015
"Q38",0.184,1.783
"Q39",1.778,1.026
"Q40",5.008,-0.973
"Q41",1.141,1.255
"Q42",2.566,0.45
"Q43",4.491,-1.785
"Q44",0.956,0.841
"Q45",1.703,0.379
"Q46",0.359,0.373
"Q47",2.618,-0.975
"Q48",0.219,-1.768
"Q49",0.689,-0.863
"Q50",0.852,-1.289
"Q51",1.202,-1.063
"Q52",0.591,0.813
"Q53",1.049,-0.397
"Q54",0.342,-0.096
"Q55",0.531,1.374
"Q56",1.007,0.352
"Q57",2.636,-0.279
"Q58",0.131,1.804
"Q59",0.101,0.355
"Q60",0.741,-0.042
"Q61",0.181,2.001
"Q62",0.348,0.286
"Q63",2.576,-0.032
"Q64",2.082,-0.174
"Q65",0.172,-0.345
"Q66",0.859,-0.896
"Q67",0.344,-1.157
"Q68",1.188,1.257
"Q69",2.638,-0.123
"Q70",2.847,1.191
"Q71",0.305,-0.078
"Q72",0.602,-0.858
"Q73",0.855,0.971
"Q74",0.257,-0.233
"Q75",0.653,-0.21
"Q76",3.553,0.032
"Q77",0.223,-0.039
"Q78",0.91,0.033
"Q79",0.797,-0.069
"Q80",0.139,0.298
"Q81",0.894,-1.381
"Q82",0.651,-0.297
"Q83",0.369,-0.847
"Q84",0.585,0.05
"Q85",0.937,-2.064
"Q86",0.672,1.6
"Q87",2.725,0.561
"Q88",0.992,1.853
"Q89",2.164,0.072
"Q90",1.035,-0.668
"Q91",0.554,-0.026
"Q92",7.341,1.01
"Q93",0.538,-0.364
"Q94",0.914,-1.07
"Q95",2.499,-0.109
"Q96",1.392,0.476
"Q97",0.964,-1.612
"Q98",1.018,1.417
"Q99",1.602,0.493
"Q100",12.589,0.017
