"","Discrimination (a)","Difficulty (b)"
"Q1",1.668,-1.289
"Q2",0.314,-0.348
"Q3",1.958,-0.522
"Q4",0.578,1.273
"Q5",0.714,1.825
"Q6",1.122,-1.511
"Q7",0.453,0.111
"Q8",1.632,-0.761
"Q9",1.275,-0.67
"Q10",1.126,0.275
"Q11",0.888,-1.023
"Q12",1.197,-1.819
"Q13",0.516,-0.668
"Q14",0.151,-0.059
"Q15",3.842,0.88
"Q16",0.293,0.269
"Q17",1.501,-0.02
"Q18",0.418,-0.525
"Q19",2.844,-1.409
"Q20",3.858,-1.834
"Q21",0.606,-0.158
"Q22",0.141,0.754
"Q23",5.47,-0.912
"Q24",1.679,0.8
"Q25",0.156,1.491
"Q26",2.094,-1.096
"Q27",0.408,-0.534
"Q28",1.204,-1.421
"Q29",0.308,-1.243
"Q30",0.669,0.232
"Q31",0.789,-1.725
"Q32",0.885,0.615
"Q33",0.339,0.727
"Q34",4.583,-0.042
"Q35",2.735,0.216
"Q36",5.819,1.77
"Q37",3.281,0.22
"Q38",0.341,0.531
"Q39",0.291,2.17
"Q40",0.451,-2.934
"Q41",0.127,-0.996
"Q42",0.711,1.17
"Q43",0.823,-0.48
"Q44",0.494,-1.669
"Q45",4.491,1.134
"Q46",0.225,-0.318
"Q47",0.297,0.176
"Q48",0.177,-0.626
"Q49",0.282,-1.64
"Q50",0.369,-0.671
"Q51",0.465,-0.849
"Q52",0.881,0.123
"Q53",0.386,-0.62
"Q54",0.564,-1.714
"Q55",1.354,0.716
"Q56",0.199,-0.916
"Q57",0.187,2.598
"Q58",1.494,-0.512
"Q59",0.128,-0.866
"Q60",0.426,0.387
"Q61",3.073,0.974
"Q62",0.86,0.399
"Q63",2.099,0.348
"Q64",1.812,-0.29
"Q65",0.332,1.577
"Q66",0.186,0.846
"Q67",1.048,-0.919
"Q68",0.379,0.401
"Q69",0.098,0.354
"Q70",0.403,1.658
"Q71",1.262,1.115
"Q72",0.688,-0.741
"Q73",0.149,2.011
"Q74",0.736,-0.026
"Q75",0.211,-0.085
"Q76",0.659,0.502
"Q77",0.51,-0.725
"Q78",2.931,1.105
"Q79",1.13,-0.633
"Q80",0.843,-0.197
"Q81",5.197,0.852
"Q82",0.17,-0.566
"Q83",0.305,-0.152
"Q84",4.1,-0.429
"Q85",1.79,2.219
"Q86",3.565,-2.034
"Q87",0.333,-1.066
"Q88",0.233,1.572
"Q89",1.526,-0.73
"Q90",0.503,0.451
"Q91",0.094,0.564
"Q92",4.923,-0.222
"Q93",3.667,-0.469
"Q94",1.319,0.573
"Q95",0.592,-1.293
"Q96",0.856,0.261
"Q97",0.761,0.1
"Q98",1.898,0.27
"Q99",0.279,0.212
"Q100",0.85,-1.384
